"$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
0.45,0,-250,-38.2176108772781,-250,-0.0639308667602262,-250,-0.0211532931941895
0.45,0.750004,-249.249996,-39.0728482661175,-249.249996,-0.103078695297383,-249.249996,-0.0431488012097103
0.45,1.500008,-248.499992,-39.9123378409883,-248.499992,-0.121346291197024,-248.499992,-0.0184689266851117
0.45,2.250012,-247.749988,-40.7851762020566,-247.749988,-0.0791342003549506,-247.749988,0.0343472660004562
0.45,3.000016,-246.999984,-41.7122581863738,-246.999984,-0.0599846953347682,-246.999984,0.0369005765293668
0.45,3.75002,-246.24998,-42.6393401706909,-246.24998,-0.0408351903145857,-246.24998,0.0394538870582776
0.45,4.500024,-245.499976,-43.5664221550081,-245.499976,-0.0216856852944033,-245.499976,0.0420071975871882
0.45,5.250028,-244.749972,-44.4935041393253,-244.749972,-0.00253618027422087,-244.749972,0.0445605081160989
0.45,6.000032,-243.999968,-45.5089355760244,-243.999968,-0.117937076657318,-243.999968,0.113300204809382
0.45,6.750036,-243.249964,-46.5989185909042,-243.249964,-0.102758624649611,-243.249964,0.0950341416897917
0.45,7.50004,-242.49996,-47.688901605784,-242.49996,-0.0875801726419049,-242.49996,0.0767680785702015
0.45,8.250044,-241.749956,-48.7788846206638,-241.749956,-0.0724017206341984,-241.749956,0.058502015450611
0.45,9.000048,-240.999952,-50.0171372957531,-240.999952,0.0265204138469011,-240.999952,0.122745495239958
0.45,9.750052,-240.249948,-51.1862632436942,-240.249948,0.0728011629472508,-240.249948,0.0729796961742434
0.45,10.500056,-239.499944,-52.2037939995112,-239.499944,0.031299604854874,-239.499944,0.104566853109241
0.45,11.25006,-238.74994,-53.4764285008914,-238.74994,0.0258794620056743,-238.74994,0.0917916655186857
0.45,12.000064,-237.999936,-54.7490630022717,-237.999936,0.0204593191564747,-237.999936,0.0790164779281303
0.45,12.750068,-237.249932,-56.0216975036519,-237.249932,0.0150391763072751,-237.249932,0.0662412903375751
0.45,13.500072,-236.499928,-57.2943320050321,-236.499928,0.00961903345807529,-236.499928,0.0534661027470198
0.45,14.250076,-235.749924,-58.8801936423399,-235.749924,-0.0016846705176443,-235.749924,0.133898519754022
0.45,15.00008,-234.99992,-60.3392647172245,-234.99992,0.0413654990051966,-234.99992,0.0583724449472439
0.45,15.750084,-234.249916,-61.5665363015985,-234.249916,0.0793024386105946,-234.249916,0.112186936127039
0.45,16.500088,-233.499912,-63.1769469494593,-233.499912,0.0598086269745054,-233.499912,0.077506594469701
0.45,17.250092,-232.749908,-64.78735759732,-232.749908,0.0403148153384159,-232.749908,0.0428262528123622
0.45,18.000096,-231.999904,-66.3977682451807,-231.999904,0.0208210037023265,-231.999904,0.00814591115502358
0.45,18.7501,-231.2499,-68.0081788930414,-231.2499,0.00132719206623715,-231.2499,-0.0265344305023152
0.45,19.500104,-230.499896,-70.0680257608072,-230.499896,-0.0312181476037232,-230.499896,0.187310348853183
0.45,20.250108,-229.749892,-71.8606102517108,-229.749892,-0.0995585109853332,-229.749892,0.0951092438791949
0.45,21.000112,-228.999888,-72.8598276197332,-228.999888,0.0466158984386754,-228.999888,0.294311099662904
0.45,21.750116,-228.249884,-75.0772337342861,-228.249884,0.0131631720017743,-228.249884,0.164965110236496
0.45,22.50012,-227.49988,-77.294639848839,-227.49988,-0.0202895544351264,-227.49988,0.0356191208100884
0.45,23.250124,-226.749876,-79.6131853177711,-226.749876,-0.275657928379371,-226.749876,-0.236338319059888
0.45,24.000128,-225.999872,-81.5883679237611,-225.999872,-0.17261657350263,-225.999872,0.00481110218688036
