"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
10,0.45,0,-250,-31.8348079272139,-250,0.0307365588474045,-250,-0.0271903691674243
10,0.45,0.750004,-249.249996,-33.3713751735451,-249.249996,0.0243664369978133,-249.249996,-0.0411696029985515
10,0.45,1.500008,-248.499992,-34.0609286466956,-248.499992,0.0179963151482479,-248.499992,-0.0551488368297113
10,0.45,2.250012,-247.749988,-34.7166645316834,-247.749988,0.0434334803085236,-247.749988,-0.0190039458717639
10,0.45,3.000016,-246.999984,-35.3924665469795,-246.999984,0.0484809665376098,-246.999984,0.0012779722151869
10,0.45,3.75002,-246.24998,-36.0682685622755,-246.24998,0.053528452766696,-246.24998,0.0215598903021377
10,0.45,4.500024,-245.499976,-36.9837818646002,-245.499976,-0.0437391475917656,-245.499976,0.0753746988998133
10,0.45,5.250028,-244.749972,-37.711878702112,-244.749972,-0.00776817215164909,-244.749972,0.109167441353194
10,0.45,6.000032,-243.999968,-38.5369380616585,-243.999968,0.0339870145047756,-243.999968,0.125598030347419
10,0.45,6.750036,-243.249964,-39.2478684551373,-243.249964,-0.0513377573531056,-243.249964,0.0859998797883336
10,0.45,7.50004,-242.49996,-40.0994264696283,-242.49996,-0.0420915185336331,-242.49996,0.0901832126412088
10,0.45,8.250044,-241.749956,-40.9509844841194,-241.749956,-0.0328452797141606,-241.749956,0.0943665454940838
10,0.45,9.000048,-240.999952,-41.8025424986105,-240.999952,-0.0235990408946881,-240.999952,0.0985498783469588
10,0.45,9.750052,-240.249948,-42.6365836071843,-240.249948,-0.0307204779403522,-240.249948,0.0680244452293549
10,0.45,10.500056,-239.499944,-43.645232785042,-239.499944,-0.0166020832996672,-239.499944,0.0876116481628963
10,0.45,11.25006,-238.74994,-44.6374694612966,-238.74994,-0.015705571522189,-238.74994,0.0771596893584117
10,0.45,12.000064,-237.999936,-45.6297061375513,-237.999936,-0.0148090597447108,-237.999936,0.0667077305539273
10,0.45,12.750068,-237.249932,-46.621942813806,-237.249932,-0.0139125479672326,-237.249932,0.056255771749443
10,0.45,13.500072,-236.499928,-47.6141794900607,-236.499928,-0.0130160361897543,-236.499928,0.0458038129449586
10,0.45,14.250076,-235.749924,-48.7488517839436,-235.749924,-0.0770910205854075,-235.749924,0.0901925467230519
10,0.45,15.00008,-234.99992,-49.7513077955232,-234.99992,-0.0636888613996704,-234.99992,0.0694066730911291
10,0.45,15.750084,-234.249916,-50.9601959007715,-234.249916,-0.0537589471873163,-234.249916,0.0452067141555465
10,0.45,16.500088,-233.499912,-52.1690840060197,-233.499912,-0.0438290329749624,-233.499912,0.0210067552199637
10,0.45,17.250092,-232.749908,-53.377972111268,-232.749908,-0.0338991187626085,-232.749908,-0.00319320371561885
10,0.45,18.000096,-231.999904,-54.6901729541712,-231.999904,-0.0869965596330566,-231.999904,-0.183911101990457
10,0.45,18.7501,-231.2499,-55.8862368695773,-231.2499,-0.0351577043068448,-231.2499,-0.168032559543477
