"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,0,-250,-30.4634840776548
12.7,0.45,0.750004,-249.249996,-31.5978347158746
12.7,0.45,1.500008,-248.499992,-32.3713226678156
12.7,0.45,2.250012,-247.749988,-32.9803062582572
12.7,0.45,3.000016,-246.999984,-33.6270401679848
12.7,0.45,3.75002,-246.24998,-34.2737740777125
12.7,0.45,4.500024,-245.499976,-34.9205079874401
12.7,0.45,5.250028,-244.749972,-35.7448714981693
12.7,0.45,6.000032,-243.999968,-36.4509986239642
12.7,0.45,6.750036,-243.249964,-37.1395128084937
12.7,0.45,7.50004,-242.49996,-37.9886892417282
12.7,0.45,8.250044,-241.749956,-38.8378656749627
12.7,0.45,9.000048,-240.999952,-39.6984654060136
12.7,0.45,9.750052,-240.249948,-40.5091017214919
12.7,0.45,10.500056,-239.499944,-41.3338212153627
12.7,0.45,11.25006,-238.74994,-42.1585407092336
12.7,0.45,12.000064,-237.999936,-42.9832602031044
12.7,0.45,12.750068,-237.249932,-44.0743066867479
12.7,0.45,13.500072,-236.499928,-44.9982165985004
12.7,0.45,14.250076,-235.749924,-46.0351746047939
12.7,0.45,15.00008,-234.99992,-47.0721326110875
12.7,0.45,15.750084,-234.249916,-48.109090617381
12.7,0.45,16.500088,-233.499912,-49.1460486236745
12.7,0.45,17.250092,-232.749908,-50.3287487467249
12.7,0.45,18.000096,-231.999904,-51.5876963193798
12.7,0.45,18.7501,-231.2499,-52.5369774819932
12.7,0.45,19.500104,-230.499896,-53.8172760239006
12.7,0.45,20.250108,-229.749892,-55.097574565808
12.7,0.45,21.000112,-228.999888,-56.3778731077155
12.7,0.45,21.750116,-228.249884,-57.6581716496228
12.7,0.45,22.50012,-227.49988,-58.9384701915302
12.7,0.45,23.250124,-226.749876,-60.3332064028458
12.7,0.45,24.000128,-225.999872,-61.8935315464181
12.7,0.45,24.750132,-225.249868,-63.4538566899904
12.7,0.45,25.500136,-224.499864,-65.0141818335627
12.7,0.45,26.25014,-223.74986,-66.5534978739622
12.7,0.45,27.000144,-222.999856,-68.1724842583334
12.7,0.45,27.750148,-222.249852,-69.8562999879189
12.7,0.45,28.500152,-221.499848,-71.5401157175045
12.7,0.45,29.250156,-220.749844,-73.2115834910188
12.7,0.45,30.00016,-219.99984,-75.1127606070418
12.7,0.45,30.750164,-219.249836,-77.0139377230647
12.7,0.45,31.500168,-218.499832,-79.0272828714706
12.7,0.45,32.250172,-217.749828,-81.1325774956939
12.7,0.45,33.000176,-216.999824,-83.3307410912956
12.7,0.45,33.75018,-216.24982,-85.4633104419922
12.7,0.45,34.500184,-215.499816,-87.6227845496395
12.7,0.45,35.250188,-214.749812,-89.9510642811169
12.7,0.45,36.000192,-213.999808,-92.1408255186224
12.7,0.45,36.750196,-213.249804,-94.4196441794196
12.7,0.45,37.5002,-212.4998,-96.7985912813227
12.7,0.45,38.250204,-211.749796,-99.7042308924214
12.7,0.45,39.000208,-210.999792,-102.60987050352
12.7,0.45,39.750212,-210.249788,-105.631185578096
12.7,0.45,40.500216,-209.499784,-108.519978690345
12.7,0.45,41.25022,-208.74978,-111.408771802595
12.7,0.45,42.000224,-207.999776,-115.066833904443
12.7,0.45,42.750228,-207.249772,-118.403948442801
12.7,0.45,43.500232,-206.499768,-120.299257482105
12.7,0.45,44.250236,-205.749764,-124.35237265678
12.7,0.45,45.00024,-204.99976,-128.405487831456
12.7,0.45,45.750244,-204.249756,-132.576391062151
12.7,0.45,46.500248,-203.499752,-136.518207425195
12.7,0.45,47.250252,-202.749748,-140.46002378824
12.7,0.45,48.000256,-201.999744,-143.851854123138
12.7,0.45,48.75026,-201.24974,-149.946142274922
12.7,0.45,49.500264,-200.499736,-154.36004847427
12.7,0.45,50.250268,-199.749732,-157.618573691497
12.7,0.45,51.000272,-198.999728,-162.957739436943
12.7,0.45,51.750276,-198.249724,-168.247949984593
12.7,0.45,52.50028,-197.49972,-173.538160532243
12.7,0.45,53.250284,-196.749716,-178.828371079893
12.7,0.45,54.000288,-195.999712,-184.118581627544
12.7,0.45,54.750292,-195.249708,-189.408792175194
12.7,0.45,55.500296,-194.499704,-196.217295705708
12.7,0.45,56.2503,-193.7497,-204.866142339112
